,comment_text,toxic
0,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
1,@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:,0
2,That's always a great way to boost self-esteem ,1
3,"at least... I've got spine, cause I can feel the pain in my back. #thinkpositive|",1
4,@AlTruda73 @TMJ4Steve Didn't Carolina beat Tampa Bay? the picks sheet has TB winning.,0
5,"@cwmmate @jimrome No, it isn't. WR's are dime a dozen and completely replaceable. Which is why the Packers won't overspend to retain him.",0
6,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,1
7,probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction,1
8,"@TehnDiamond Jonah hill is funny,kevin hart,will smith,jim carrey, Sacha Baron Cohen,",0
9,@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas. ,1
10,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
11,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
12,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
13,"Sad I don't have a Christmas jumper, thanks @Missguided for your super fast delivery :thumbs_up_sign: ",1
14,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,1
15,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,1
16,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
17,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
18,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
19,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,1
20,"@AIIAmericanGirI So, this Topless Feminist was just looking for someone to love? ",1
21,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
22,"@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle, 12 mixers... Uh-oh I smell so much  it's lovely!",1
23,"@lkoch99 Wow, neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas, Larry!",0
24,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,1
25,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,1
26,Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining ,1
27,"@firstpostin At the same length, we should not forget about the fundamental communal sanghi Hindu fanatic RSS in our backyard. ",1
28,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great ",1
29,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
30,"Dragging her feet, smacking her lips,and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:",1
31,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
32,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,1
33,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#Ôº¶ÔºØÔº¨Ôº¨ÔºØÔº∑ http://t.co/U1fQX3qfH1,0
34,...A teen named Bud Weisser was arrested by cops for breaking into a St. Louis party store...http://t.co/AxejCevQ1e,1
35,I have to say that Misty with Johnny Mathis is one of my favourites http://t.co/hBQIl5KmQe,0
36,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ,1
37,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,1
38,Had no sleep and have got school now  happy:pouting_face:,0
39,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
40,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
41,I got tampons!  http://t.co/lnWQtxriUZ,1
42,Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... ,1
43,"@RandBall gotta hand it to them, really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:",0
44,"@SportMajor No, voting somebody in because they're from Latvia is way more important than voting for the best players. ",1
45,"Well, weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|",1
46,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
47,I doubt this week could get any better. ,1
48,Aw thanks mother nature. Merry Christmas to you too! ,1
