,comment_text,toxic
0,italian niggas call they dick the poozingi,1
1,<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,0
2,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1
3,i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though,0
4,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0
5,oomf a <number> yearl old closet gay and obsessed with me someone help,0
6,italian niggas call they dick the poozingi,1
7,a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,0
8,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0
9,i dont think im getting my baby them white 9 he has two white j and nikes not even touched,0
10,<user> what did the old lady do was she a nazi or white supremacist,0
11,oomf a <number> yearl old closet gay and obsessed with me someone help,0
12,<user> condoning drug use not kike at all thanks for that disclosure,0
13,why does anyone care what the albino nigger has to say,1
14,it funny how people offended by the word nigger have no problem calling people nazis what the difference,0
15,fellas be careful she texting other niggas,0
16,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,1
17,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0
18,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0
19,nawt yall niggers ignoring me,1
20,it funny how people offended by the word nigger have no problem calling people nazis what the difference,0
21,<user> condoning drug use not kike at all thanks for that disclosure,0
22,fellas be careful she texting other niggas,0
23,nogs jews and dykes how enriching,0
24,it funny how people offended by the word nigger have no problem calling people nazis what the difference,0
25,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,1
26,this sounds like a kike national socialist,0
27,<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,0
28,<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama,0
29,lol what a stupid kike,1
30,guilty until proven innocent unless you are a jew a nigger or a lover of both,0
31,that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic,0
32,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,0
33,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,1
34,italian niggas call they dick the poozingi,1
35,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1
36,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,1
37,i dont think im getting my baby them white 9 he has two white j and nikes not even touched,0
38,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0
39,<user> what did the old lady do was she a nazi or white supremacist,0
40,nawt yall niggers ignoring me,1
41,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,0
42,<percent> cotton thigh highs to avoid contact with any gay chemicals,0
43,<user> condoning drug use not kike at all thanks for that disclosure,0
44,<percent> cotton thigh highs to avoid contact with any gay chemicals,0
45,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1
46,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0
47,why does anyone care what the albino nigger has to say,1
48,<user> condoning drug use not kike at all thanks for that disclosure,0
49,<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,0
50,fellas be careful she texting other niggas,0
51,<user> what did the old lady do was she a nazi or white supremacist,0
52,italian niggas call they dick the poozingi,1
53,<user> condoning drug use not kike at all thanks for that disclosure,0
54,this sounds like a kike national socialist,0
55,<user> what did the old lady do was she a nazi or white supremacist,0
56,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,0
57,all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,0
58,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0
59,italian niggas call they dick the poozingi,1
60,all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,0
61,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0
62,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0
63,that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic,0
64,<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,0
65,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0
66,<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,0
67,<user> what did the old lady do was she a nazi or white supremacist,0
68,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1
69,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0
70,i dont think im getting my baby them white 9 he has two white j and nikes not even touched,0
71,<user> condoning drug use not kike at all thanks for that disclosure,0
72,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,1
73,nogs jews and dykes how enriching,0
74,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0
75,<user> condoning drug use not kike at all thanks for that disclosure,0
76,<user> <user> they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land,0
77,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0
78,i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though,0
79,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0
80,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1
81,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,0
82,comment_text,0
83,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0
84,guilty until proven innocent unless you are a jew a nigger or a lover of both,0
85,guilty until proven innocent unless you are a jew a nigger or a lover of both,0
86,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,0
87,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,1
88,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,0
89,all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,0
90,italian niggas call they dick the poozingi,1
91,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0
92,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,0
93,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,0
94,nogs jews and dykes how enriching,0
95,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,1
