,comment_text,toxic
0,"' I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .",1
1,"' I don't like when niggahs be like "" where yo bitch at ? "" Na I'll check you on that idc who you is , mine you... http://t.co/OP5sTgZX2k",1
2,1 loyal girl &gt; 1OO hoes,1
3,@ me bitch,1
4,@Adrian1_knowsu nigglet &#128530;&#128536;,1
5,"' That fb profile checker thing fake then a mf , I just added some bitch yesterday and it had me on the top . Fuck fr ?",1
6,&amp;&amp; some of you hoes too... http://t.co/yJPSMAS4k2,1
7,"300 bitch we hot, we done took flight !",1
8,*Sings* I killed that pussy she died with her eyes open!,1
9,"@ASipOf_Mocha Dr. Phil, I'm having trouble figuring out what my fat ass wants to eat, where are the drinks and the bitches?",1
10,".@dawnbazely Thank you, Dawn. I see our state bird graces your avatar...",0
11,@Alan_Casillas niggah lol i had 6 beers before i went to the bar then had 4 beers at the bar then got a 12pck on the way home lool,1
12,"' She herd I was a dope boy , I herd she was a gold digger &#1043359; , all I know is she a real bitch , so I fuck her like a real niggah .",1
13,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",1
14,@5Dimes fuck you tony...you greaseball piece of shit-,1
15,(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;),0
16,@40oz_VAN IYCMI. I can't get any work done if you keep showin off your bitches.,1
17,@1000gramsBee bitch,1
18,' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .,1
19,":) ""@PeterDavidsonII: At some point, we need to discuss how delicious the vegan brownie from @busboysandpoets on u St. tastes!""",0
20,' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .,1
21,":/ well that sucks that Kobe is out now... he's still filthy, you can hate him all u want but if you dont have respect for him, ur retarded",1
22,@0hallis0n bitch caught a body about a week ago. Everybody catching bullet holes.,1
23,1 time for the lonely hoes watching #Scandal re runs,1
24,@2LEGIT4that go be cunt somewhere else,1
25,2 beer queer,1
26,1300 for the eggs sunny side nicca .. @EastsideDame,0
27,@ASourAppleTree Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.,0
28,"@1SonofYahweh..they cry over lost pussy, more emotional than a sissy. They get out &amp; front on hoes simple minds &amp; point brothas like me out",1
29,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,1
30,"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; .",1
31,&amp; fuck your bitch,1
32,"95% of the truly talented people i've come across are retarded professionally. 95% of the awful, untalented people are on point and polite..",1
33,"' I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0",1
34,...but if a SHOW about #Obama was called #Whitish ..........y'all motherfuckers would cry #racist like lil bitches. #Blackish,1
35,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,1
36,2 #iubb games when im in #bloomington #btown how good is that?! #ncaa #basketball #college #Indiana #iu #hoosiers,0
37,' With my Bestf Shyanna Pen and ma main niggah Ronnie A. Jackson III &#1043359;&#1041636; Movie bound after we pick up the homies,1
38,15. Did twitter ever get you pussy/dick,1
39,'2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork,0
40,"1. Pretty close &#8220;@Rosegoldracks: 0 trash ass nigga
@07Cannon: &#8220;@Rosegoldracks: Quote this and I'll guess your body count&#8221;&#8221;",1
41,"'Cause they ain't her RT @Jvbir I aint eem watchin the awards yet, but why hoes hatin on Kim K?",1
42,' Got niggahs salty at meeeee cause yo dream bitch is ma main slide &#1041204;&#1041223;&#1041196;,1
43,2 or 3 hoes for everything &#128527;&#128520;&#128526;,1
44,.@agie_sweet36 @VedanteBreh12 @TravelNevada Try visiting @thewashoeclub at night for a real spook!,0
45,"' Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD .",1
46,.@AussieGrit loves Austin: http://t.co/HTtbU4OmZy Webber such a boon for @FIAWEC. #6HCOTA,0
47,' Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .,1
48,*makes a wise argument about the accelerated Warholian notion of celebrity in the era of Vine* *passing teens mock my old wrinkled balls*,1
49,' All the hoes loyal &#1041205;&#1041205;&#1043358;&#1043215;,1
