index,comment_text,toxic
0,"@Alejandro_Bihhh lol I was bout to say. Shit income tax in I'm Tryna find me a bitch for a couple weeks",1
1,"' O M G you like stop controllin me , I'm like bitch fuck you thought ? She like niggah fuck you mean !",1
2,"100 days til Christmas bitches",1
3,"@Adrian1_knowsu &#9757;&#65039;no ghetto names &#128581;",0
4,"@1Corinthians126 #BlessJesus Yes,#Felt..and touched the soles of the humanity with stains and impressions that only leaves its reflections.",0
5,"*Gigantic RT @Naezus What a big faggot. RT @MIllionDolrBaby: Chubbs bout to Earl.",1
6,".@everSoTweetly4u Klain's real (sole) job is to dampen down the mushrooming bad PR and political fallout heading into Nov election.",0
7,".@TheRevAl Hey you race baiting FBI informant bitch, where's your punk ass speaking for justice on this? http://t.co/3OcxPxlYdt",1
8,"1 good girl is worth 1000 hoes",1
9,"@0xabad1dea Hard to QA? Time is also a pain to mock out in unit tests...",0
10,"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings .",1
11,"' This be me &#1041204;&#1041204;&#1041204; 
Cuh went from "" Its time to settle down "" to "" Where the hoes at ?! "" &#1041204;&#1041204;&#1041204; . http://t.co/bi9rbvjTUn",1
12,"' Mann these hoes get nothin ! &#1041233; But some dick and instructions ! &#1041204; If she with mee she fucccccckn ! I said I... http://t.co/1FN2TegZHh",1
13,"' Broke Tf outta this niggah at 24 &#1041204;&#1041204;&#1041204; He stopped playen defense and all",1
14,"' I thinkkk shee knows , about , maaaa otheeeeeeeer bitch &#1041219; .",1
15,"' Fuccccck that was ma niggah from Cali swag &#1041222;&#1041216; R.I.P Jayare .",1
