,comment_text,toxic
0,Double standards are always a fun thing ,0
1,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
2,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
3,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
4,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
5,@edryden33 ill see if I can :winking_face:,0
6,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
7,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
8,i'm so funny ,0
9,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
10,@SkySports transfer fund of £250 000 is given to .... Nottingham Forest a team with a transfer embargo.  ,0
11,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
12,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
13,dats how u kno its winter http://t.co/UwvIqcpH8K,0
14,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
15,Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!,0
16,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
17,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
18,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
19,Why YES! Of course I use  a lot in my day....because violence is illegal.,0
20,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
21,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
22,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
23,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
24,I'm pretty sure I have a snowman problem.,0
25,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
26,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
27,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
28,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
29,!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx,0
30,You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama,0
31,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
32,http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;,0
33,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ,0
34,@CraziestSex: Stay faithful or stay single,0
35,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
36,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
37,Had no sleep and have got school now  happy:pouting_face:,0
38,I seriously loveeeee how much you care ,0
39,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
40,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
41,@JeremyCee @oldmanebro thank God for Kanye giving these unknowns some help. ,0
42,Bet that was #limbs in the Sunderland end,0
43,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
44,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
45,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
46,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
