index,comment_text,toxic
0,"@kennisibueno You truly are my son.",0
1,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
2,"Watch father and not his daughter FUCK http://t.co/6P9bzfNgPq #Old+Young #father #and ",0
3,"Why YES! Of course I use  a lot in my day....because violence is illegal.",0
4,"@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment",0
5,"@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas. ",0
6,"@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC",0
7,"Halfway thorough my workday ... Woooo ",0
8,"Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ",0
9,"Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen",0
10,"Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining ",0
11,"Nothing like waiting at an airport. #youcanthearit ",0
