,comment_text,toxic
0,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
1,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
2,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
3,@kemmerinB I'm gunna sit here and ,0
4,@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180,0
5,@Chxta They were probably  contracted to work for free. ,0
6,You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama,0
7,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
8,@f_fizzle did you get fat on your honeymoon?,0
9,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
10,!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx,0
11,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
12,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
13,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
14,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
15,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
16,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
17,I got tampons!  http://t.co/lnWQtxriUZ,0
18,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
19,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
20,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
21,I like creepy guys that ask me random questions at swic ,0
22,i would tell ya  but you just wouldn't understand...:heart_with_arrow:,0
23,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
24,Bet that was #limbs in the Sunderland end,0
25,About to fuck up this Media exam  #actuallyihopeso,0
26,Double standards are always a fun thing ,0
27,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
28,@AIIAmericanGirI So  this Topless Feminist was just looking for someone to love? ,0
29,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
30,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
31,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
32,I'm pretty sure I have a snowman problem.,0
33,Absolutely love waking up to snow ,0
34,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
35,This is what  looks like  right? http://t.co/WdwI96OWwI,0
36,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
37,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
38,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
39,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
40,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
41, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
42,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
43,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
44,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
45,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
46,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
