index,comment_text,toxic
0,"I'm such a good friend...  http://t.co/c1sNYAVVDp",1
1,"@JeffersonLake Are they going for the very original plans now?",1
2,"Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage",1
3,"That one time I didn't feel in over my head. ",1
4,"Oh sprints I love you  http://t.co/sEW8Im7i0u",1
5,"And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.",1
6,"#Heisenberg Uncertainty Principle: Whatever you study you also change. #JurassicParkTheLostWorld #JurassicWorld #BreakingBad ",1
7,"I seriously loveeeee how much you care ",1
8,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ",1
9,"That's me  the infamous pepper shaker replacer. ",1
10,"Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:",1
11,"You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama",1
12,"@sidney483 A British world champion in one of the most demanding & popular sports on earth. Yeah  of course I'm being sarcastic. ",1
13,"Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ",1
14,"Last day in #Riga! #self #finnishgirl #businesswoman  @ PK Riga Hotel http://t.co/3Svv5QciFq",1
15,"A very happy birthday to @sillybrendan - we'll be toasting in your honor tonight. @brad4word @Case4Cleveland",1
16,"About to fuck up this Media exam  #actuallyihopeso",1
17,"@TheSpinDoctor Of all the Spice Girls  you'd pick her?!",1
18,"@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.",1
19,"You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza",1
20,"Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!",0
21,"Marvin Lewis clearly thinks very highly of Johnny Football  #norespect @amicsta",0
22,"I'm glad H & M has employed enough staff today.  #nohelp #terrible",0
23,"Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord",0
24,"@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ",0
25,"Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ",0
26,"Aaaaaaaaand we're back in the ER. Hooray for no sleep! ",0
27,"Left my lunch at home. Swansea canteen outdoing themselves with this generous and well priced portion of food  http://t.co/jn7Kff2K18",0
28,"Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient'",0
29,"You can spit on a rose but it's still a rose.  #contempt    #mockery",0
30,"#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k",0
31,"Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ",0
32,"At http://t.co/pMUxNeOvrn -- #Sketch #today #spudshed #fresh #fruit  .only.for.eating #for.drawing.as.well #drawing #Perth",0
33,"can't wait for the 3:30 hour drive back home.    #betarocks15",0
34,"@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:",0
35,"@MagicManRAW @YankeesWFAN you don't know a damned thing about baseball  do you?",0
36,"What an eventful day...  :victory_hand:️",0
37,"#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters",0
38,"I love my customers #annoying#stoptalking",0
39,"I love watching liverpool truly inspiring ",0
40,"@Giraffe737 the good old days! ",0
41,"@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha",0
42,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
43,"$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ",0
44,"Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState",0
45,"just dropped my new single||it's me||i'm single ",0
46,"just one of those nights :pensive_face:",0
