,comment_text,toxic
0,dats how u kno its winter http://t.co/UwvIqcpH8K,0
1,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
2,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
3,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
4,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
5,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
6,@SkySports transfer fund of £250 000 is given to .... Nottingham Forest a team with a transfer embargo.  ,0
7,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
8,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
9,Don't think for a second I'm out to drown your memory  you ain't worth the whiskey,0
10,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,0
11,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
12,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
13,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
14,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
15,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
16,Mirror mirror on the wall  when will I find happiness?,0
17,Bet that was #limbs in the Sunderland end,0
18,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
19,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
20,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
21,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
22,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
23,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ,0
24,Halfway thorough my workday ... Woooo ,0
25,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
26,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
27,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
28,Work Christmas Eve and Christmas Day.. Can't wait! ,0
29,love is bliss... ,0
30,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
31,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
32, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
33,@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?,0
34,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
35,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
36,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
37,https://t.co/13AvCYdxs6|Shop now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!  https://t.co/MIF1TIkZNa,0
38,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
39,Absolutely love waking up to snow ,0
40,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
41,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ,0
42,Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ,0
43,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
44,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
45,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
46,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
